TIME,DBTM,DMEA,BPOS,HKLA,HKLX,WOBA,WOBX,TQA,TQX,RPMA,SPPA,CHKP,SPM1,SPM2,TVCA,MFOP,MDOA,MDIA,MTOA,MTIA,MCOA,MCIA,STKC,DRTM,SPR2,SPR3,SPR4,SPR5,SPR6,SPR7,SPR13,SPR14,SPR15,SPR20,SPR21,SPR22,SPR23
2016-11-08T192647.000Z,419.4803,419.4803,-3.633305,40.39209,40.39209,10.03434,10.03434,0.0,0.0,0,88.24283,0.0,63,77,-1.576378,0,1.158896,1.042003,0.0,43.20885,0.0,15.69088,4126038,427.0,90.17726,210.8473,0.0,0.0,87,462.942,179.6569,0.0,0.0,2.367934,25.05482,141,6621
2016-11-08T192649.000Z,419.4803,419.4803,-3.633305,39.54805,39.54805,10.83834,10.83834,0.0,0.0,0,88.94408,0.0,63,77,-1.522091,0,1.158896,1.042003,0.0,43.20885,0.0,15.69088,4126040,427.0,90.17726,210.9625,0.0,0.0,89,493.6323,179.6569,0.0,0.0,2.367934,25.05482,141,6625
2016-11-08T192651.000Z,419.4989,419.4989,-3.65187,39.54805,39.54805,10.83834,10.83834,0.0,0.0,0,88.82567,0.0,63,77,-1.474945,0,1.158896,1.042003,0.0,43.0262,0.0,15.69088,4126042,427.0,90.2814,210.9625,0.0,0.0,90,493.6323,179.6569,0.0,0.0,2.367934,25.05482,141,6625
2016-11-08T192653.000Z,419.5061,419.5061,-3.659101,37.97202,37.97202,12.39817,12.39817,0.0,0.0,0,88.53115,0.0,63,77,-1.521374,0,1.158896,1.042003,0.0,43.0262,0.0,15.69088,4126045,427.0,90.2814,210.8543,0.0,0.0,89,487.7281,179.6569,0.0,0.0,2.367934,25.05482,141,6630
2016-11-08T192656.000Z,419.5061,419.5061,-3.659101,36.94401,36.94401,13.43823,13.43823,0.0,0.0,0,88.53115,0.0,63,77,-1.754589,0,1.158896,1.042003,0.0,43.0262,0.0,15.69088,4126047,427.0,90.2814,210.478,0.0,0.0,88,487.7281,179.6569,0.0,0.0,2.367934,25.05482,141,6630
2016-11-08T192658.000Z,419.5203,419.5203,-3.673241,38.31601,38.31601,12.12024,12.12024,0.0,0.0,0,88.53115,0.0,63,77,-1.871197,0,1.158896,1.042003,0.0,43.0262,0.0,15.69088,4126049,427.0,90.2814,210.3228,0.0,0.0,87,503.8838,179.6569,0.0,0.0,2.367934,25.05482,141,6635
2016-11-08T192700.000Z,419.5203,419.5203,-3.673241,37.60801,37.60801,12.79732,12.79732,0.0,0.0,0,88.69994,0.0,63,77,-1.939499,0,1.158896,1.042003,0.0,43.0262,0.0,15.69088,4126052,427.0,90.2814,210.7283,0.0,0.0,85,506.7137,179.6569,0.0,0.0,2.367934,25.05482,141,6635
2016-11-08T192702.000Z,419.5358,419.5358,-3.688783,38.15601,38.15601,12.2617,12.2617,0.0,0.0,0,88.46829,0.0,63,77,-2.053654,0,1.158896,1.042003,0.0,43.0262,0.0,15.69088,4126054,427.0,90.2814,210.625,0.0,0.0,86,520.7808,179.6569,0.0,0.0,2.367934,25.1639,141,6639
2016-11-08T192704.000Z,419.5358,419.5358,-3.688783,37.528,37.528,12.86325,12.86325,0.0,0.0,0,88.70541,0.0,63,77,-2.070728,0,1.158896,1.053621,0.0,42.87834,0.0,15.69088,4126056,427.0,90.2814,210.5023,0.0,0.0,88,526.7886,179.6569,0.0,0.0,2.367934,25.1639,141,6639
2016-11-08T192706.000Z,419.5358,419.5358,-3.688783,38.69001,38.69001,11.74152,11.74152,0.0,0.0,0,88.82398,0.0,63,77,-2.129265,0,1.158896,1.053621,0.0,42.87834,0.0,15.69088,4126059,427.0,90.2814,210.34,0.0,0.0,89,527.6605,179.6569,0.0,0.0,2.367934,25.1639,141,6645
2016-11-08T192708.000Z,419.5358,419.5358,-3.688783,40.00901,40.00901,10.42605,10.42605,0.0,0.0,0,88.82398,0.0,63,77,-2.018536,0,1.158896,1.053621,0.0,42.87834,0.0,15.69088,4126061,427.0,90.2814,210.34,0.0,0.0,90,533.6039,179.6569,0.0,0.0,2.367934,25.1639,141,6645
2016-11-08T192710.000Z,419.5485,419.5485,-3.70152,40.00901,40.00901,10.31279,10.31279,0.0,0.0,0,88.50113,0.0,63,77,-1.943169,0,1.158896,1.053621,0.0,42.87834,0.0,15.69088,4126064,427.0,90.2814,210.2343,0.0,0.0,91,513.4406,179.6569,0.0,0.0,2.367934,25.1639,141,6649
2016-11-08T192712.000Z,419.5485,419.5485,-3.70152,40.71126,40.71126,9.707993,9.707993,0.0,0.0,0,88.50113,0.0,63,77,-1.815487,0,1.158896,1.053621,0.0,42.87834,0.0,15.69088,4126066,427.0,90.47064,210.505,0.0,0.0,92,532.7197,179.6569,0.0,0.0,2.367934,25.1639,141,6649
2016-11-08T192714.000Z,419.5485,419.5485,-3.70152,40.71126,40.71126,9.707993,9.707993,0.0,0.0,0,88.50113,0.0,63,77,-1.815487,0,1.158896,1.053621,0.0,42.87834,0.0,15.69088,4126066,427.0,90.47064,210.9723,0.0,0.0,92,532.7197,179.6569,0.0,0.0,2.367934,25.1639,141,6649
2016-11-08T192716.000Z,419.5564,419.5564,-3.709399,39.90282,39.90282,10.61567,10.61567,0.0,0.0,0,88.74395,0.0,63,77,-1.719723,0,1.158896,1.053621,0.0,42.65484,0.0,15.69088,4126071,427.0,90.47064,210.544,0.0,0.0,93,500.6784,179.6569,0.0,0.0,2.367934,25.27794,141,6654
2016-11-08T192718.000Z,419.5681,419.5681,-3.721056,39.63142,39.63142,10.76785,10.76785,0.0,0.0,0,88.60795,0.0,63,77,-1.719723,0,1.158896,1.053621,0.0,42.65484,0.0,15.69088,4126073,427.0,90.47064,210.4319,0.0,0.0,93,496.2805,179.6569,0.0,0.0,2.367934,25.27794,141,6659
